video_id,comment_id,reply_to_comment_id,original_text,translated_text,emoji_only,reply_to_original_text,reply_to_id,replied_to_translated,emoji_count,text_length,thread_depth,creator_category,manual_label,manual_label_new,video_moral_label
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7504407920220046085,,ja Danville special...,ja Danville special...,,,,,0,22,0,Chaos,Unclear,Chaos,Chaos
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7497551400365310775,,Is dit nie ver om te ry van Groendakies nie 😂😂,Isn't it far to drive from Groendakies,😂😂,,,,2,38,0,Chaos,Unclear,Chaos,Chaos
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7498587013533369143,,Kom maak gou draai hier in Suid Wes A.K.A Namibia chom....🤣🤣🤣🤣,Come and make a hurry here in South West A.K.A Namibia Chom ....,🤣🤣🤣🤣,,,,4,64,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7496623812353917701,,aai en daar slaap jy weer aleen😂😂😂,Aai and there you sleep alone again,😂😂😂,,,,3,35,0,Chaos,Chaos,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7496910773647753989,,Dankie lanie 😂,Thanks Lanie,😂,,,,1,12,0,Chaos,Ubuntu,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7497293370151191302,,Nog n Dr Philip,Another dr philip,,,,,0,17,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7496507064707416887,,Jy sal Val boet,You will fall fine,,,,,0,18,0,Chaos,Unclear,Chaos,Chaos
https://www.tiktok.com/@troubles2777/video/7496501133267995909,7509913685981528837,7.509912901709841e+18,Dankie jy reg te minste traai ons om op te staan dankie hater 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰Daar vat hy nou mooi papa 🥰🥰🥰🥰🥰🥰,Thank you at least at least we are tearing up to get up thanks hater there he takes nice papa now,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,duidelik n pretorianer elandspoort special,7.509912901709841e+18,clear a Pretorian Elandspoort special,21,97,1,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496748102800720645,,Hahaha skep eers asem hoor,Hahaha first lodging hearing,,,,,0,28,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7504320835336913669,,😂😂😂,,😂😂😂,,,,3,0,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7512802616910037765,,Jys kla moeg van niks doenie😂,You are complaining tired of nothing doi,😂,,,,1,40,0,Chaos,Chaos,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7507235053371851526,,the trouble maker,the trouble maker,,,,,0,17,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496881481035449094,,bly in 'n wendy huis,stay in a wendy house,,,,,0,21,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7511664467680314117,,😂😂😂😂,,😂😂😂😂,,,,4,0,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7505753664485983031,,Omw🤣🤣🤣🤣🤣🤣🤣🤣,Ride,🤣🤣🤣🤣🤣🤣🤣🤣,,,,8,4,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7506450862903575302,,@☆♤¤♤☆Qűęňțøň☆♤¤♤☆ 😂,@QűęňțØň,😂,,,,1,8,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7512124913067737861,,Temu se Dr Phillips🤣,This is dr Phillips,🤣,,,,1,19,0,Chaos,Unclear,Chaos,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7506243130518995717,7.506239145326102e+18,🤣🤣🤣,,🤣🤣🤣,@Br! +n3¥ @pierre7c @💜Angelique💜 @kevinallen43 @Ruchel Muller @Gator,7.506239145326102e+18,@Br! n3 @pierre7c @Angelique @kevinallen43 @Ruchel Muller @Gator,3,0,1,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496538279476069175,,Ek het soveel vrae?,I have so many questions?,,,,,0,25,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496975523244081925,,shame,shame,,,,,0,5,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496812883829916471,,as mike tyson glitch,as mike tyson glitch,,,,,0,20,0,Chaos,Unclear,Chaos,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496877803251434246,,"Stadig ou, jys so vinnig , sien jou amper nie eers nie😳😂","Slowy guy, you're so fast, almost don't even see you",😳😂,,,,2,52,0,Chaos,Chaos,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496937598104503045,,🤣🤣🤣🤣,,🤣🤣🤣🤣,,,,4,0,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7503608864601080581,7.496772082295408e+18,🤣🤣🤣🤣🤣🤣🤣,,🤣🤣🤣🤣🤣🤣🤣,Hkm net Brakpan lol wat het hulle jou gemaak.,7.496772082295408e+18,Hkm just brakpan lol what did they make you.,7,0,1,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7506970551644144390,,Troubles j blaas klaar wind d video is nogie eers klaar nie,Troubles j blow already wind d video is not done yet,,,,,0,52,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7497594959308161797,,😂😂😂,,😂😂😂,,,,3,0,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7497665254659277623,,Jy gaan bakslaa kry my bra jy is maar my tjom,You go baking,,,,,0,13,0,Chaos,Ubuntu,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7497339943619199750,,🤣🤣🤣,,🤣🤣🤣,,,,3,0,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7497389456153936648,,jesus christ that's Jason Bourne,jesus christ that's Jason Bourne,,,,,0,32,0,Chaos,Unclear,Chaos,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7503231523639591686,,oo jinn dr Phillips look alike😂😂,oo jinn dr Phillips look alike,😂😂,,,,2,30,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7504211078391415557,,my name is Jeff 😂😂😂😂,my name is Jeff,😂😂😂😂,,,,4,15,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7497651564817236741,,ek boks ook soma 😂😅,I also box soma,😂😅,,,,2,15,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7496532565571781431,,Daai broek sal skeer,Those pants will shave,,,,,0,22,0,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7507231937342898950,7.496936317605152e+18,Werner😂😂😂😂😂😂😂,Werner,😂😂😂😂😂😂😂,Tjom...onthou om jou belt vas te maak as jy klaar gevêlle het....net so FYI👌,7.496936317605152e+18,Tjom ... Remember to fasten your belt when you finished .... just as fyi,7,6,1,Chaos,Unclear,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7504036835909272325,,thanks trubblez 🤣🤣🤣🤣,thanks trubblez,🤣🤣🤣🤣,,,,4,15,0,Chaos,Ubuntu,Middle,Chaos
https://www.tiktok.com/@troubles2777/video/7496506207092526342,7497508361497002807,,kom brakpan row,Come Brakpan Row,,,,,0,16,0,Chaos,Unclear,Middle,Chaos
