"avatarThumbnail","cid","createTime","createTimeISO","detailedMentions/0/nickName","detailedMentions/0/profileUrl","detailedMentions/0/secUid","detailedMentions/0/userId","detailedMentions/1/nickName","detailedMentions/1/profileUrl","detailedMentions/1/secUid","detailedMentions/1/userId","detailedMentions/2/nickName","detailedMentions/2/profileUrl","detailedMentions/2/secUid","detailedMentions/2/userId","detailedMentions/3/nickName","detailedMentions/3/profileUrl","detailedMentions/3/secUid","detailedMentions/3/userId","detailedMentions/4/nickName","detailedMentions/4/profileUrl","detailedMentions/4/secUid","detailedMentions/4/userId","detailedMentions/5/nickName","detailedMentions/5/profileUrl","detailedMentions/5/secUid","detailedMentions/5/userId","detailedMentions/6/nickName","detailedMentions/6/profileUrl","detailedMentions/6/secUid","detailedMentions/6/userId","detailedMentions/7/nickName","detailedMentions/7/profileUrl","detailedMentions/7/secUid","detailedMentions/7/userId","detailedMentions/8/nickName","detailedMentions/8/profileUrl","detailedMentions/8/secUid","detailedMentions/8/userId","detailedMentions/9/nickName","detailedMentions/9/profileUrl","detailedMentions/9/secUid","detailedMentions/9/userId","detailedMentions/10/nickName","detailedMentions/10/profileUrl","detailedMentions/10/secUid","detailedMentions/10/userId","detailedMentions/11/nickName","detailedMentions/11/profileUrl","detailedMentions/11/secUid","detailedMentions/11/userId","detailedMentions/12/nickName","detailedMentions/12/profileUrl","detailedMentions/12/secUid","detailedMentions/12/userId","detailedMentions/13/nickName","detailedMentions/13/profileUrl","detailedMentions/13/secUid","detailedMentions/13/userId","diggCount","input","likedByAuthor","mentions/0","mentions/1","mentions/2","mentions/3","mentions/4","mentions/5","mentions/6","mentions/7","mentions/8","mentions/9","mentions/10","mentions/11","mentions/12","mentions/13","pinnedByAuthor","repliesToId","replyCommentTotal","text","uid","uniqueId","videoWebUrl"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/7849518a613539a7eea6f6544e341f2c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b62ca1bb&x-expires=1756396800&x-signature=Re2AMFwJs5vKPCgRooiNsRWe2Y0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7542592646780076818","1756146913","2025-08-25T18:35:13.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","HELLO!!!!","7522392838940869653","bigback1234_5","https://www.tiktok.com/@dodonyokamusic/video/7542553296330820882"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/14e1ccf29ebcb180291206f64254731c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=1c5a8f4c&x-expires=1756396800&x-signature=BNG5SOnWGv2g%2BzoDJXcdbAXnQFY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7542587010839675656","1756145401","2025-08-25T18:10:01.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","🥰🥰🥰","7427180297304097798","thanjekwayosiyamt","https://www.tiktok.com/@dodonyokamusic/video/7542553296330820882"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/8780f1674f01930299835f739d505931~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d5be2f61&x-expires=1756396800&x-signature=SVMfaQ4G9Hu%2FXEKgBi9PRc48QXA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7542906701059392257","1756219834","2025-08-26T14:50:34.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","2 September emperors palace East rand
fav song
is almel","7385259632481141765","deanelelliott0","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/60ec0ffd3ffbe433a0e78fdd79d396df~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=d9a1d0f9&x-expires=1756396800&x-signature=V%2BK9gvMebxNtgWgK4Nc9uVdXEEA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7542516549924864789","1756129104","2025-08-25T13:38:24.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","Jannaman en As ek opstaan. 2 September Emperors Palace Barnyard Theatre.","7158873063835550725","liesienyx","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/17354d291b80de24950e5ea46baca8f6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b53566d5&x-expires=1756396800&x-signature=iUmXwMcKPZxzDx%2FG%2B4V4Fe7XNUs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541596194537456392","1755914708","2025-08-23T02:05:08.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","Emperor's Palace - Janneman 🥰","7340133925689558021","kayla.van.biljon","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/0a3e17959533995ff145f11e6bba7201~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=a99b6f15&x-expires=1756396800&x-signature=gQt6YkxR23XkiYMJhCFcQFms444%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541456467782796050","1755882170","2025-08-22T17:02:50.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","Janneman maar ek weet niks ander nie","7210998910541218822","chanellvanderwest","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/1305ab97c5b0597c0f6873f4922433e9~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=eb96ed31&x-expires=1756396800&x-signature=uxh0PL%2FFlUEdXOYLR17VfbCotyQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541647426751824645","1755926648","2025-08-23T05:24:08.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","2 September emperors place
jou favorite liedjies is by vêr FOTO❤️❤️","6856455727570191365","natashabasson09","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/03b2257ae9552af372d8b38800537ac6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5272e752&x-expires=1756396800&x-signature=idX9lBQO6OLmbaueqvCsb0R1WDU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541450069573763857","1755880683","2025-08-22T16:38:03.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","Emperose Palace se Barnyard 2Sept en jou favourite liedjie os JANNEMAN.","6871311493792646149","nikkioosthuizen","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/1e839018d1035345aa814a12d2f369d1~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=54d9f3ba&x-expires=1756396800&x-signature=sIkGq6eo2GOpw1rXtBRmSyE7fRs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541599700836614919","1755915527","2025-08-23T02:18:47.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","janneman ,in Emperose branvard op die 2Sept","7173745705466774534","boerseun2010","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p19-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/58209eddf52ce2ed732df7b346a1f3f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=5316ef75&x-expires=1756396800&x-signature=iv7tgr8vP%2FRdieCOqQBSIBRbFCk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541447002396099360","1755879971","2025-08-22T16:26:11.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","Hey I love ur music keep going ❤️❤️","7220487507455378437","csp_df","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/a9d211c8be02570db98b3ee13b5dadb6~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=04d43033&x-expires=1756396800&x-signature=npXeHvvWH5nf2S3VYWHOyCD5TNM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541697259365548801","1755938447","2025-08-23T08:40:47.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","En fotos van die Lewe kyk is ook n gunsteling","7328851856942793734","dorethea.van.tonder","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-sg.tiktokcdn-us.com/tos-alisg-avt-0068/fc8e1bab0c4c2e52c061577b26cdc13c~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=b37755f2&x-expires=1756396800&x-signature=%2B07plcLaW7mQ3euUSyKwmbdAuio%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541510886867911432","1755894847","2025-08-22T20:34:07.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","Country girl van Bloem!!… 2 Sep.. Emperors","6859584220328936450","djkempat","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
"https://p16-common-sign-va.tiktokcdn-us.com/tos-maliva-avt-0068/91994e2f544a8c182e319a3e7a0af2f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=566e3f82&x-expires=1756396800&x-signature=Egf4hEuQV3HHjhGv1im0SXhYUWk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5","7541500846254490376","1755892513","2025-08-22T19:55:13.000Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","dodonyokamusic","false",,,,,,,,,,,,,,,"false",,"0","Dancing in the stars i think and 2 September by EMPERORS
PALACE ek hoop eks reg","6664225785367199749","zanderde_jager","https://www.tiktok.com/@dodonyokamusic/video/7541445483173137682"
